#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-04-19T04:15:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e34e1332614	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/189&tab:{VII/189/table1}&key:source=VII/189/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/189/table1
#-order=I
#-out=Jname
#-out=s400
#-out=s600
#-out=s1400
#

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#Column	s400	(F8.2)	Time averaged flux density at 400MHz in mJy	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	s600	(F8.2)	Time averaged flux density at 600MHz in mJy	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	s1400	(F8.2)	Time averaged flux density at 1400MHz in mJy	[ucd=phot.flux.density;em.radio.750-1500MHz]
Jname	s400	s600	s1400
1926+1926   	    2.00	    0.00	    0.00
1927+1855   	    3.00	    0.00	    0.00
1927+1856   	    3.00	    0.00	    0.00
1927+2234   	    6.00	    0.00	    0.00
1929+00     	    0.00	    0.00	    0.00
1929+1846   	    3.00	    0.00	    0.00
1930+1316   	    5.00	    0.00	    0.00
1931+1536   	    3.00	    0.00	    0.00
1931+30     	    0.00	    0.00	    0.00
1932+1059   	  303.00	  187.00	   41.00
1932+2020   	   29.00	   11.00	    1.20
1932+2220   	    7.80	    5.30	    1.20
1933+07     	    0.00	    0.00	    0.00
1933+1307   	    2.00	    0.00	    0.00
1933+2422   	    7.50	    1.20	    0.00
1935+1616   	  242.00	  162.00	   42.00
1935+1747   	    3.00	    0.00	    0.00
1936+1536   	    2.00	    0.00	    0.00
1937+2544   	    6.60	    7.00	    2.30
1938+0652   	    0.00	    0.00	    0.00
1939+2134   	  240.00	    0.00	   16.00
1939+2450   	    3.00	    0.00	    0.00
1941+1026   	    1.80	    0.00	    0.00
1941-2602   	   13.00	   10.00	    3.00
1942+1747   	    3.00	    0.00	    0.00
1943-1237   	   12.90	    4.50	    0.70
1944+1757   	    1.00	    0.00	    0.00
1944-1750   	    7.50	    3.00	    0.20
1945+1835   	    3.00	    0.00	    0.00
1945-0040   	    6.00	    4.70	    0.80
1946+1805   	   40.00	   31.00	   10.00
1946+2244   	    3.00	    0.00	    0.00
1946+2611   	    1.50	    0.00	    0.00
1946-2913   	    9.30	    4.10	    0.80
1947+10     	    0.00	    0.00	    0.00
1948+3540   	  145.00	   79.00	    8.30
1949-2524   	    5.20	    2.60	    0.40
1950+05     	    0.00	    0.00	    0.00
1951+1123   	    1.20	    0.00	    0.00
1952+1411   	    6.00	    0.00	    0.00
1952+3252   	    7.00	    5.10	    1.00
1953+1149   	    2.20	    0.00	    0.00
1954+2923   	    6.60	    7.00	    8.00
1955+2908   	   15.00	    0.00	    1.00
1955+5059   	   26.00	   14.00	    4.00
1959+2048   	   20.00	    0.00	    0.35
2002+1637   	    0.40	    0.00	    0.00
2002+30     	    0.00	    0.00	    0.00
2002+3217   	    5.50	    3.90	    1.20
2002+4050   	   53.00	   22.90	    4.90
2004+3137   	   14.50	   11.60	    1.80
2005-0016   	    8.00	    0.00	    0.40
2006-0807   	   20.00	    7.00	    2.80
2008+2513   	    2.70	    0.00	    0.00
2013+3845   	   26.00	   18.70	    6.40
2015+2524   	    0.40	    0.00	    0.00
2018+2839   	  314.00	  101.00	   30.00
2019+2425   	   15.00	    0.00	    0.00
2022+2854   	   71.00	   60.00	   38.00
2022+5154   	   77.00	   96.00	   27.00
2023+5037   	    6.50	    4.00	    2.20
2027+2145   	    3.00	    0.00	    0.00
2029+3744   	   18.00	    4.80	    0.60
2030+2228   	    5.00	    0.00	    0.00
2033+17     	    0.00	    0.00	    0.00
2037+1942   	    2.00	    0.00	    0.00
2037+3621   	    6.00	    3.10	    0.80
2038+5319   	    3.10	    1.10	    0.30
2043+2740   	    0.00	    0.00	    0.00
2044+46     	    0.00	    0.00	    0.00
2046+1540   	   11.50	    4.60	    1.70
2046+5708   	    4.60	    1.30	    0.30
2046-0421   	   20.00	    8.60	    1.70
2048-1616   	  116.00	  103.00	   13.00
2053-7200   	   29.00	   15.00	    6.00
2055+2209   	    9.00	    6.20	    0.00
2055+3630   	   28.00	   14.40	    2.60
2108+4441   	   26.00	   19.40	    5.40
2108-3425   	    3.00	    0.00	    0.00
2113+27     	    0.00	    0.00	    0.00
2113+2754   	   18.00	    8.00	    1.10
2113+4644   	  230.00	  112.00	   19.00
2116+1414   	    9.00	    3.40	    0.80
2124+1407   	    4.00	    0.00	    0.00
2124-3358   	   20.00	    0.00	    1.00
2127-6648   	    7.00	    0.00	    0.00
2129+1209D  	    0.30	    0.00	    0.00
2129+1209G  	    0.10	    0.00	    0.00
2129+1209H  	    0.20	    0.00	    0.00
2129+1210A  	    1.70	    0.00	    0.20
2129+1210B  	    1.00	    0.00	    0.00
2129+1210E  	    0.20	    0.00	    0.00
2129+1210F  	    0.10	    0.00	    0.00
2130+1210C  	    0.60	    0.00	    0.00
2139+00     	    0.00	    0.00	    0.00
2139+2242   	    0.00	    0.00	    0.00
2144-3939   	   16.00	    0.00	    0.80
2145-0750   	   50.00	    0.00	   10.00
2149+6329   	   32.00	   18.40	    2.90
2150+5247   	   15.60	    6.60	    2.00
2155-3118   	   12.00	    5.40	    0.50
2155-5641   	    2.10	    0.00	    0.00
2156+2618   	    2.70	    0.00	    0.00
2157+4017   	  105.00	   55.00	   17.00
2205+1444   	    1.50	    0.00	    0.00
2212+2933   	    6.30	    4.20	    0.90
2215+1538   	    3.70	    0.00	    0.00
2219+4754   	  111.00	   36.00	    3.00
2222+29     	    0.00	    0.00	    0.00
2225+6535   	   22.00	   11.20	    2.00
2229+2643   	   13.00	    0.00	    0.00
2229+6205   	   17.00	    5.30	    0.80
2234+2114   	    2.60	    0.00	    0.00
2235+1506   	    3.00	    0.00	    0.00
2242+6950   	    2.40	    1.60	    0.40
2248-0101   	   11.00	    0.00	    0.90
2253+1516   	    2.40	    0.00	    0.00
2257+5909   	   34.00	   36.00	    9.20
2304+60     	    0.00	    0.00	    0.00
2305+3100   	   24.00	    8.00	    2.20
2305+4707   	    1.90	    2.20	    0.00
2307+2225   	    2.00	    0.00	    0.00
2308+5547   	   19.00	   10.00	    1.90
2313+4253   	   89.00	   46.00	   15.00
2317+1439   	   19.00	    0.00	    0.00
2317+2149   	   15.00	    6.60	    0.90
2321+6024   	   36.00	   50.00	   12.00
2322+2057   	    2.80	    0.00	    0.00
2324-6054   	    4.00	    9.00	    0.00
2325+6316   	    8.00	    6.20	    2.10
2326+6113   	   17.00	   12.00	    4.40
2330-2005   	   42.00	   19.00	    3.00
2337+6151   	   10.00	    6.10	    1.40
2347-0612   	   11.00	    0.00	    2.00
2354+6155   	   17.00	   12.00	    5.00

